"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.WiFi","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.Alcohol","attributes.GoodForKids","attributes.RestaurantsGoodForGroups"
"5173","c4mhqHT3f-xwOtQJNgvfcA","Green Iguana Bar & Grill","1708 E 7th Ave","Tampa","FL","33605","27.96043"," -82.44016","3.0"," 112","0","'free'"," 'street': True","True","True","True","False"
"5200","-WjTNKDYRyagBFCpHmkqVA","La Hacienda Mexicana","5537 Sheldon Rd","Tampa","FL","33615","27.99922"," -82.58235","4.0","  98","1","'no'"," 'street': False","True","False","True","True"
"5206","14:0-2:0","14:0-0:0","","","","","","","","","","","","","","",""
"5237","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0","","","","","","","","","","","",""
"5239","afJf3BGC-kZkrFR1CaWdww","London Heights British Pub","7701 N Nebraska Ave","Tampa","FL","33604","28.01776"," -82.45103","3.5","  82","0","'free'"," 'street': False","True","True","True","True"
"5243","5RzJBfSJOQ8R9Rw61dYqdA","Splitsville","615 Channelside Dr, Ste 120","Tampa","FL","33602","27.94301"," -82.44692","3.5"," 201","0","u'free'"," 'street': False","True","True","True","True"
"5274","k-tHn9uxgWdq1ROHqwc-lw","Shells Seafood  - St Pete Beach","7081 Gulf Blvd","St. Pete Beach","FL","33706","27.73949"," -82.74948","4.5"," 965","1","'free'"," 'street': False","True","True","True","True"
"5286","15:0-3:0","15:0-3:0","15:0-3:0","15:0-3:0","15:0-3:0","14:0-3:0","","","","","","","","","","",""
"5290","xWb-YZ1qoDwJYYpyONQciA","The Landing Bar & Grill","4351 Lynx Paw Trl","Valrico","FL","33596","27.87636"," -82.22267","4.0"," 184","0","u'free'"," 'street': False","True","True","True","True"
"5294","wNuyxdg5wGoMFG19k1j59Q","D'Mexican","6630 Central Ave","St. Petersburg","FL","33707","27.77055"," -82.72927","4.0"," 187","0","'free'"," 'street': False","True","False","True","True"
"5299","Y_kXztsFC7l0mMQAYXNkNA","Z Grille","104 2nd St S","St Petersburg","FL","33701","27.77012"," -82.63525","3.5"," 238","0","u'no'"," 'street': True","True","True","True","False"
"5318","N-NNqb6ANcdAyv2BoaEESA","San José Mexican Restaurant","7804 Land O Lakes Blvd","Land O' Lakes","FL","34638","28.27095"," -82.47888","4.0"," 102","1","u'no'"," 'street': False","True","True","True","True"
"5332","16:0-20:0","16:0-20:0","16:0-21:0","16:0-21:0","12:0-20:0","","","","","","","","","","","",""
"5351","","","","","","","","","","","","","","","","",""
"5364","","","","","","","","","","","","","","","","",""
"5366","7:30-22:0","7:30-18:0","7:30-0:0","8:0-0:0","9:0-21:0","","","","","","","","","","","",""
"5371","wSacmuwjiNWEgyfqtIroHg","Umai Sushi","1712 Missouri Ave N","Largo","FL","33770","27.93286"," -82.78686","4.0","  92","1","'free'"," 'street': False","True","False","True","True"
"5381","LttC5xNMFcgOg3bt_MlXTg","McAlister's Deli","4410 W Boy Scout Blvd, Ste 150","Tampa","FL","33607","27.95982"," -82.51851","4.0"," 121","1","u'free'"," 'street': False","False","True","False","True"
"5383","0OJ6J4AoqpxjwQPp159lcg","Pisces Sushi and Global Bistro","799 Highland Ave","Dunedin","FL","34698","28.01235"," -82.78567","4.5"," 528","1","u'free'"," 'street': True","True","True","True","True"
"5401","lYQKK4KG7z4jMqMBVVfTNg","Taqueria Doña Maria","865 Lithia Pinecrest Rd","Brandon","FL","33511","27.92559"," -82.27082","3.5"," 146","0","u'free'"," 'street': False","True","True","True","True"
"5402","ei8aN3ltrRjoauHIzmhrYg","Clearwater Wine Bar & Bistro","482 Poinsettia Ave","Clearwater Beach","FL","33767","27.98153"," -82.82625","4.5","  71","1","u'free'"," 'street': False","True","True","True","False"
"5404","XKevywsd9Br4YDcd7IC2-w","Alfano's Restaurant","1702 Clearwater Largo Rd","Clearwater","FL","33756","27.93455"," -82.79616","4.0","  80","1","u'no'"," 'street': False","False","True","True","True"
"5407","","","","","","","","","","","","","","","","",""
"5432","COIf71Hw6UaLqSNrT22CDQ","Sake2Me","11401 N 56th St","Tampa Bay","FL","33617","28.05217"," -82.39302","3.5","  54","0","'free'"," 'street': False","True","True","True","True"
"5452","JOU22FJLIZNsYRymOMnfkg","Poke Express","1514 E Fowler Ave, Ste B","Tampa","FL","33612","28.05522"," -82.44191","4.5"," 107","1","u'free'"," 'street': False","False","False","True","True"
"5454","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0","11:0-22:0","","","","","","","","","","",""
"5455","v7DDirUL-ZA-CmRgl7m-pg","Mr B's Cafe","3401 N Nebraska Ave","Tampa","FL","33603","27.97435"," -82.45095","4.5","  80","1","u'free'"," 'street': False","False","None","True","True"
"5494","oo37sVFYkBTxyPqDpu6WPw","The Sail","333 S Franklin St","Tampa","FL","33602","27.94065"," -82.45531","3.5"," 365","1","u'free'"," 'street': True","True","True","True","True"
"5518","J2BU4_VsgmnYVHNCcrizjw","Fat Cat Tavern","3665 East Bay Dr, Ste 100","Largo","FL","33771","27.91505"," -82.74913","3.5","  94","1","'free'"," 'street': False","True","False","True","True"
"5541","_c-dGNiPXl82X0765DZsmA","Jerk Hut Restaurant","1241 E Fowler Ave","Tampa","FL","33612","28.05380"," -82.44675","3.5"," 341","1","u'free'"," 'street': False","True","False","True","True"
"5585","Euzc6V2xKJyEgYVZK-CyEQ","Gulf Bistro","15225 Gulf Blvd","Madeira Beach","FL","33708","27.80305"," -82.80324","4.5"," 109","1","u'no'"," 'street': False","False","False","False","False"
"5642","PFTiIAhYsCQqigErcKVskw","Caddy's On Central","217 Central Ave","St. Petersburg","FL","33701","27.77152"," -82.63592","3.0"," 125","0","u'free'"," 'street': True","True","True","True","False"
"5644","9O5FMfiJIi_u81D6ksG8Ag","GameTime","1600 E 8th Ave","Tampa","FL","33605","27.96112"," -82.44091","3.0"," 191","1","u'free'"," 'street': True","True","False","True","True"
"5663","RUgNtJ046NNtlya4-qUB3w","Sloppy Joe's","10650 Gulf Blvd","Treasure Island","FL","33706","27.76761"," -82.76904","3.5"," 657","1","u'free'"," 'street': False","True","True","True","True"
"5668","iCQ3RMglnMHnCg17dK3QiQ","Los Vallarta Mexican Restaurant","5335 Village Market","Wesley Chapel","FL","33543","28.23455"," -82.35229","3.0"," 148","1","u'no'"," 'street': False","True","False","True","True"
"5675","xpSh0Tnbed2K5JevEIvtjg","Capogna's Dugout","1653 Gulf To Bay Blvd","Clearwater","FL","33755","27.95960"," -82.76864","3.5","  95","1","u'free'"," 'street': False","True","False","True","True"
"5682","xp7IRO4FDLcHkAO59Qqehg","Cheddar's Scratch Kitchen","2391 Sun Vista Dr","Lutz","FL","33559","28.19186"," -82.39393","3.5"," 285","1","u'free'"," 'street': False","True","False","True","True"
"5690","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","16:0-3:0","","","","","","","","","","",""
"5696","8Q5kGm11Z33UxDrEWslqow","Beve Cibo","5622 Lithia Pinecrest Rd","Lithia","FL","33547","27.86014"," -82.19797","3.5","  55","0","u'paid'"," 'street': False","True","False","True","True"
"5697","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","15:0-21:0","","","","","","","","","","","",""
"5706","8rAzexb3VAcAbYPbnwrueQ","Steak ’n Shake","2567 E State Rd 60","Valrico","FL","33594","27.93723"," -82.24185","2.5","  57","1","u'free'"," 'street': False","True","False","False","True"
"5722","FGe8_MFciERzA_sM7FNJNA","Antojitos Latin Cravings","2302 W Columbus Dr","Tampa","FL","33607","27.96642"," -82.48311","4.0","  99","1","'free'"," 'street': False","False","False","True","True"
"5740","","","","","","","","","","","","","","","","",""
"5768","KW7hDw16MIvR_gyNKzTvNQ","Taqueria Emanuel","2800 N Macdill Ave, Ste E","Tampa","FL","33607","27.96599"," -82.49369","4.5"," 244","1","'no'"," 'street': False","False","None","True","True"
"5771","qqoBEhoi2AVKl9DRDACiaA","Black Rock Bar & Grill","11702 N Dale Mabry Hwy","Tampa","FL","33618","28.05497"," -82.50466","4.0"," 394","1","u'free'"," u'garage': False","True","None","True","True"
"5780","","","","","","","","","","","","","","","","",""
"5787","cZUWKX2Az7OY2N59RsFtrw","Beef 'O' Brady's","2418 James L Redman Pkwy","Plant City","FL","33566","27.98765"," -82.12027","2.5","  19","1","'free'"," 'street': False","True","False","True","True"
"5796","","","","","","","","","","","","","","","","",""
"5804","WKkLsiO4SxdegSNGJzVWpQ","Buffalo Wild Wings","4058 Tampa Rd, Ste 1","Oldsmar","FL","34677","28.03507"," -82.65433","2.5"," 140","1","u'free'"," 'street': False","True","True","True","True"
"5814","lcKgQdQU1D38ahpFDE1hUg","Panos Kouzina","3101 SR 580","Safety Harbor","FL","34695","28.02328"," -82.70832","4.0","  15","0","u'no'"," 'street': False","True","False","True","True"
"5816","0d1dpaZqcm7litFOJl7atA","Noble Crust","8300 4th St N","St. Petersburg","FL","33702","27.84790"," -82.63900","4.5","1259","1","u'free'"," 'street': False","True","True","True","True"
"5817","16:0-22:0","16:0-22:0","11:30-0:0","10:30-0:0","10:30-15:0","","","","","","","","","","","",""
"5869","EmSd4cSZgJs7D2AXsHIxBQ","Little Greek Restaurant","1155 S Dale Mabry Hwy, Ste 3","Tampa","FL","33629","27.93261"," -82.50614","4.0"," 118","1","'free'"," 'street': False","False","True","True","True"
"5870","speLDZmGk5tMenzLb0DHSg","Bellissimo Italian Eatery","13220 S Belcher Rd, Ste 20","Largo","FL","33773","27.89310"," -82.74664","4.0"," 162","0","'no'"," 'street': False","True","None","False","True"
"5876","U588hFqWbd1T9EJ6Nplv2g","Boulevard Burgers & Tap House","5905 Gulf Blvd","St Pete Beach","FL","33706","27.73285"," -82.74484","3.5"," 383","1","'free'"," 'street': True","True","True","True","True"
"5879","J1ThHocJA-46Zl6HGW3LxA","Carrabba's Italian Grill","1205 Townsgate Ct","Plant City","FL","33563","28.02681"," -82.14802","3.0","  63","1","'no'"," 'street': False","True","False","True","True"
"5899","PzELbb-ozGltoPQbAYQ3UQ","Rowe Bar","3400 Gulf Blvd","Saint Pete Beach","FL","33706","27.70926"," -82.73754","3.0","  47","1","'free'"," 'street': False","True","True","True","False"
"5900","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","21:0-1:0","","","","","","","","","","",""
"5903","2AVA3WSH76LXCCBEzSKNqQ","Fishhawk Pizza","15260 Fishhawk Blvd","Lithia","FL","33547","27.85306"," -82.22989","3.5"," 112","1","u'free'"," 'street': False","False","True","True","True"
"5913","LRTU8SUyCXRhQrqRlJCr6A","Los Mariachis Mexican Restaurant","9100 Ulmerton Rd","Largo","FL","33771","27.89400"," -82.76542","3.0"," 104","0","'free'"," 'street': False","True","True","True","True"
"5914","ImUZM_uDJ_uFnWOV6Jvq9Q","Dachshund's Bar & Grill","5915 Memorial Hwy","Tampa","FL","33615","27.98616"," -82.57015","4.0","   9","0","'no'"," 'street': False","True","True","True","True"
"5941","DyIO3iCiYaREeSh4ypik8A","Koto Steakhouse & Sushi Bar","533 S Howard Ave","Tampa","FL","33606","27.93967"," -82.48342","3.0"," 250","1","u'no'"," 'street': False","True","False","True","True"
"5953","V2xSuNLZb6QAb7GdNkI3rg","The Frog Pond","7390 Gulf Blvd","St Pete Beach","FL","33706","27.74122"," -82.75134","4.5"," 969","1","'no'"," 'street': True","False","True","False","True"
"5965","14:0-0:0","14:0-0:0","14:0-2:0","14:0-2:0","14:0-2:0","14:0-0:0","","","","","","","","","","",""
"5983","-ee5czr21mfEJGrbZ-572Q","Tokyo Bay Mang' Sushi & Japanese Steakhouse","7900 4th St N","St. Petersburg","FL","33702","27.84478"," -82.63890","3.5","  16","0","u'no'"," 'street': False","True","False","True","True"
"5990","Y2ILjbd9nLM_El5KKAwbbg","Copenhagen Cafe","15 N Pinellas Ave","Tarpon Springs","FL","34689","28.14664"," -82.75677","4.5","  84","1","u'free'"," 'street': True","False","True","False","True"
"5994","Gv41DHml-P1c7HalftOHnQ","Los Mexicanos","2325 Ulmerton Rd, Ste 3","Clearwater","FL","33762","27.89464"," -82.66733","3.0","  54","0","'no'"," 'street': False","True","True","True","True"
"6002","c0F9yKr0bJuQDtG1lzDgmQ","Craft Street Kitchen - Oldsmar","3153 Curlew Rd","Oldsmar","FL","34677","28.04930"," -82.70060","4.5","1013","1","'free'"," 'street': False","True","True","True","True"
"6005","QUq9AMGYSSU0678IRTODDw","Kazbors Grill & Bar","9992 US Hwy 301 S","Riverview","FL","33569","27.85472"," -82.32611","4.0","  33","1","'free'"," 'street': False","True","True","True","True"
"6011","","","","","","","","","","","","","","","","",""
"6019","T-I2IG2ds_9q9gZ5NPxFxw","China Gate Restaurant","12049 Anderson Rd","Tampa","FL","33624","28.05987"," -82.54167","3.0","  31","1","u'free'","True","True","u'none'","True"," u'casual': None"
"6027","Zn6WQQknlNtgiil0rNf9UA","Del Mar Gastro Lounge","243 Central Ave","St. Petersburg","FL","33701","27.77150"," -82.63640","3.5"," 111","1","'free'"," 'street': True","True","True","True","False"
"6028","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","","","","","","","","","","","",""
"6059","eR7ieJD12PUzsYrP8fw6rQ","BJ's Restaurant & Brewhouse","3800 Park Blvd N","Pinellas Park","FL","33781","27.83876"," -82.68628","3.5"," 366","1","'free'"," 'street': False","True","False","True","True"
"6062","","","","","","","","","","","","","","","","",""
"6083","jKM6u7Or-0C-UNWD2F8O1w","Victorian Grace","616 N Parsons Ave","Brandon","FL","33510","27.94888"," -82.28612","3.5","  28","0","u'no'"," 'street': False","False","False","False","False"
"6088","ZpQs6ICV63NwLrTO9kNHAA","Grille One Nine","3516 US Hwy 19","New Port Richey","FL","34652","28.21045"," -82.73892","3.5"," 140","1","'no'"," 'street': False","True","False","False","True"
"6091","YtjH3oPnx1gZt2dCdUC3tQ","Flambé","615 Channel Side Dr, Ste 123","Tampa","FL","33602","27.94383"," -82.44688","3.0","  90","0","'free'"," 'street': True","True","True","True","True"
"6121","-HcABf2Y81fglisWWXPYdQ","Salt Public House","1309 Gulf Blvd","Indian Rocks Beach","FL","33785","27.89633"," -82.84845","4.0"," 223","1","u'free'"," 'street': None","True","True","True","True"
"6127","15:0-23:0","15:0-0:0","15:0-0:0","15:0-2:0","15:0-2:0","12:0-23:0","","","","","","","","","","",""
"6146","cbEDBhFvYjP0Qw8v_5rBDA","Crazy Burrito - Dunedin","1140 Main St, Unit 2 & 3","Dunedin","FL","34698","28.01949"," -82.77443","4.5","  78","1","u'no'"," 'street': False","True","None","True","True"
"6166","XZ_jM8hnMakTT5eObEtY8A","Miss Vicki's On the River","1029 Baillies Bluff Rd","Holiday","FL","34691","28.17310"," -82.78587","4.0"," 161","1","u'no'"," 'street': False","True","True","True","True"
"6180","PG2bFg_eQgec91Jf5AXRfA","Pinchers","14391 N Dale Mabry Hwy","Tampa","FL","33618","28.07836"," -82.50619","3.5"," 132","0","u'free'"," 'street': False","True","True","True","True"
"6190","17:0-3:0","17:0-3:0","17:0-3:0","17:0-3:0","13:0-3:0","13:0-3:0","","","","","","","","","","",""
"6195","TblMkSZn7XmfTgheZ7TI5g","The Carthage Grille","811 Cleveland St","Clearwater","FL","33755","27.96556"," -82.79544","4.5","  31","0","u'free'"," 'street': True","True","True","True","True"
"6213","4D1bpaK80jcfniPSo4WsGw","Glory Days Grill","9900 4th St","St Pete","FL","33702","27.86263"," -82.63935","3.5"," 237","1","'free'"," 'street': False","True","True","True","True"
"6214","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-23:0","","","","","","","","","","","",""
"6216","XZRsPZb30NWjgqZBSumsSw","Chez Faby","500 N Tampa St","Tampa","FL","33602","27.94822"," -82.45926","4.5","  88","1","u'free'"," 'street': True","False","True","True","False"
"6235","7qpkCYXnmYpA72LW0AAGgA","Smokin 19","3080-3090 34th St N","St. Petersburg","FL","33713","27.80043"," -82.67985","3.5","  65","1","'free'"," u'garage': None","True","True","True","False"
"6236","11:0-23:0","11:0-23:0","11:0-0:0","7:0-0:0","7:0-23:0","","","","","","","","","","","",""
"6249","ZbUuSJ3rjjT4tsqkvHis4A","Steak ’n Shake","18627 US 19","Clearwater","FL","33764","27.94187"," -82.72955","2.0","  63","0","u'free'"," 'street': False","True","False","False","True"
"6256","","","","","","","","","","","","","","","","",""
"6260","lLzKVCIxNyKdQUeicpvaLg","Panini's of Westchase","12227 Linebaugh Ave","Tampa","FL","33626","28.05593"," -82.62698","2.5","  34","0","'free'"," 'street': False","True","True","True","True"
"6261","11:0-1:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-1:0","","","","","","","","","","","",""
"6270","yyqf-PXRLrU0EM0DfnTPeA","Apollo's Bistro","6520 Richies Way","Apollo Beach","FL","33572","27.77611"," -82.40428","3.5","  92","1","u'free'"," 'street': False","True","True","True","True"
"6276","4MY3w1Spq0LFxLKmIkGRWg","Lowry Parcade & Tavern","1213 W Waters Ave","Tampa","FL","33604","28.02566"," -82.47127","4.5","  96","1","'free'"," 'street': False","False","True","True","False"
"6277","17:0-0:0","17:0-0:0","17:0-0:0","17:0-22:0","17:0-1:0","17:0-0:0","","","","","","","","","","",""
"6290","l4IeGBHXV2E8S8COd9rx9A","Rusty Bellies","937 Dodecanese Blvd","Tarpon Springs","FL","34689","28.15507"," -82.76442","4.5","1421","1","u'free'"," 'street': False","True","True","True","True"
"6293","nHZ6Sx1wg7o8NUrtc-EgvQ","O'Brien's Irish Pub & Grill Wesley Chapel","5429 Village Market","Wesley Chapel","FL","33544","28.23596"," -82.35235","3.5","  48","1","'free'"," 'street': False","True","True","True","True"
"6313","He0fcp1LRP0HL5lwUqY8ZQ","Uncle Fats 2 Tampa","124 W Fletcher Ave","Tampa","FL","33612","28.06866"," -82.46028","3.5","  51","0","'free'"," 'street': None","True","True","True","True"
"6330","w4wYlGd-ADrda22Z7zO0Nw","Mekenita Cantina","6707 N Florida Ave","Tampa","FL","33604","28.00845"," -82.45915","4.0"," 276","1","u'free'"," 'street': True","True","True","False","True"
"6362","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-23:0","","","","","","","","","","",""
"6372","11:30-3:0","11:30-3:0","20:0-3:0","11:30-3:0","18:0-3:0","18:0-3:0","","","","","","","","","","",""
"6373","AHfXTupIMD01u8HtlE9BsQ","Hoagie Heaven","10203 E US Hwy 92","Tampa","FL","33610","27.99586"," -82.33201","4.0","  15","1","u'no'"," 'street': False","False","False","True","True"
"6380","D4XMyX72WYQ2nEwGQDqR7g","Red Robin Gourmet Burgers and Brews","2468 Tyrone Blvd N, Ste 435B","St. Petersburg","FL","33710","27.79349"," -82.73198","3.0"," 127","1","u'no'"," u'garage': False","True","True","True","True"
"6398","I7SkoqN88fpKagzKA059Fw","First Watch","1648 Bruce B Downs Blvd","Wesley Chapel","FL","33544","28.18222"," -82.35298","4.0"," 366","1","u'free'"," u'garage': False","False","False","True","True"
"6404","FjP8cDZwc-pUFg1bjWG-xg","The Original Grill","900 N Pinellas Ave","Tarpon Springs","FL","34689","28.15450"," -82.75648","4.0","  12","0","'no'"," 'street': False","True","True","True","True"
"6426","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","12:0-3:0","","","","","","","","","","",""
"6438","T73WzfVBb6s-hjIbp3_PXg","Hoosiers Grille","10630 Plantation Bay Dr","Tampa","FL","33647","28.14735"," -82.29641","3.5","  19","0","u'free'"," 'street': False","True","True","True","True"
"6441","17:0-0:0","17:0-0:0","17:0-0:0","19:0-2:0","19:0-2:0","17:0-0:0","","","","","","","","","","",""
"6450","rI9Ojso4-cd2blJdUgPBXA","Steak ’n Shake","3046 Little Rd","Trinity","FL","34655","28.20408"," -82.66570","3.0","  45","1","u'free'"," 'street': False","True","False","False","True"
"6459","2ukJ2tNmtWfHvpGjYMgVnA","Origami Sushi","6507 W Waters Ave","Tampa","FL","33634","28.02635"," -82.55274","4.0"," 276","0","u'no'"," 'street': False","True","False","True","True"
"6463","PbFG_A7A_fE-6oL4kC_zQg","So Gourmet","3301 S Dale Mabry Hwy","Tampa","FL","33629","27.91526"," -82.50633","4.0"," 167","0","u'free'"," 'street': False","False","True","True","True"
"6464","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","7:0-16:0","","","","","","","","","","","",""
"6476","16:0-23:0","16:0-23:0","16:0-23:0","16:0-0:0","12:0-0:0","15:0-21:0","","","","","","","","","","",""
"6489","GnaK02osEcOO9G16XIRZDg","Ducky's Sports Lounge","1719 W Kennedy Blvd","Tampa","FL","33606","27.94502"," -82.47790","3.5"," 262","1","'free'"," 'street': False","True","True","True","True"
"6496","p53i8ogh4pADR41GwaPRjg","Castile Restaurant","3701 Gulf Blvd","St Pete Beach","FL","33706","27.71360"," -82.73696","3.5"," 254","1","u'free'"," 'street': False","True","True","True","False"
"6500","","","","","","","","","","","","","","","","",""
"6530","dvTQNq-EGH1Omt318rlt1g","Falafel Inn Mediterranean Grill","777 N Ashley Dr, Ste B","Tampa","FL","33602","27.95006"," -82.46031","4.0"," 185","0","u'free'"," 'street': True","True","True","True","True"
"6531","I5jxUHS1Dp2rg40eDzyiCA","Rasoi Indian Cuisine","1701 E 8th Ave","Tampa","FL","33605","27.96077"," -82.44027","4.5"," 218","1","u'free'"," 'street': True","True","True","True","True"
"6533","sJmqrVw2Q8g2UcCu7LY7TA","Joia Fabulous Pizza & Martini Bar","10475 Gibsonton Dr","Riverview","FL","33578","27.85470"," -82.32811","3.5"," 180","1","'no'"," u'garage': False","True","True","True","True"
"6550","DsPomqfQZ44v5wD-My6dIQ","Taco Dirty","2221 W Platt St","Tampa","FL","33606","27.94207"," -82.48280","4.5"," 399","1","u'free'"," 'street': True","True","True","True","True"
"6555","PeD_3BMo_UtkDaeymSurdQ","Beef 'O' Brady's","8568 Gunn Hwy","Odessa","FL","33556","28.08603"," -82.58023","3.5","  47","1","'free'"," u'garage': False","True","True","True","True"
"6574","-ZXjWCTxItm-3wPkgsf8zQ","Argento's Italian Bistro","10042 US Hwy 19","Port Richey","FL","34668","28.30362"," -82.70259","4.5"," 239","1","'no'"," 'street': False","False","None","True","True"
"6575","dnRs9fXZAbrOGjLzKfz6BQ","The Nest Neighborhood Kitchen","2217 S Dale Mabry Hwy","Tampa","FL","33629","27.92518"," -82.50613","4.5","  63","0","u'free'"," 'street': False","False","False","False","True"
"6606","12:0-0:0","12:0-0:0","12:0-1:0","12:0-1:0","12:0-1:0","12:0-0:0","","","","","","","","","","",""
"6608","W-GmQyyKIskcS3u7nHprtA","Watervue Grille","700 Harbour Post Dr","Tampa","FL","33602","27.93995"," -82.45147","4.0"," 113","1","'free'"," 'street': True","True","True","True","False"
"6619","Tn_OK04DzbDQij9ZpMlT9Q","The Floridian","4534 W Kennedy Blvd","Tampa","FL","33609","27.94461"," -82.52160","3.5"," 120","1","'free'"," u'garage': False","False","False","True","True"
"6630","k5_LYJGnLSawGfjxt_OGxg","Downtown Crawlers","600 N Ashley Dr","Tampa","FL","33602","27.94882"," -82.46157","4.5","  10","1","u'no'"," 'street': False","True","True","True","False"
"6631","9:0-21:0","9:0-21:0","9:0-21:0","9:0-23:30","9:0-23:30","9:0-21:0","","","","","","","","","","",""
"6637","9VjTlbKOI8Tlo2gwkMpdgw","Hops and Props","335 2nd Ave NE","Saint Petersburg","FL","33701","27.77395"," -82.63074","4.5"," 130","0","u'free'"," 'street': True","True","True","True","False"
"6643","MxRZHZoDVVnN7EvMAHf1EA","Fleming’s Prime Steakhouse & Wine Bar","4322 W Boy Scout Blvd","Tampa","FL","33607","27.96219"," -82.51593","4.0"," 502","1","'free'"," u'garage': False","True","True","True","True"
"6682","LMXa9Vi82nHJsmdtyFyt_Q","Oishi Sushi & Thai","3705 Forest Lakes Plz, Ste 5","Oldsmar","FL","34677","28.04575"," -82.67898","4.5","  98","0","u'free'"," 'street': False","True","False","True","True"
"6696","mgPQx-d8YkaygZ2b0iRXOQ","Beef 'O' Brady's","2819 S MacDill Ave","Tampa","FL","33629","27.92016"," -82.49393","3.0","  64","1","u'free'"," 'street': True","True","False","True","True"
"6719","Gqfx2sT4VeyzXaUZCFMhQA","Clock Tower Sports Bar & Grill","145 107th Ave","Treasure Island","FL","33706","27.76937"," -82.76755","3.5","  11","0","u'free'"," 'street': False","True","True","True","True"
"6745","NXfl8GlBEy8K0qt8t5s7Qg","Bumpa's Fish Shack","900 N Pinellas Ave","Tarpon Springs","FL","34689","28.15435"," -82.75660","3.0","  33","0","'no'"," 'street': False","True","True","True","True"
"6757","5TwBLv_xV0LawqkbIllEVg","Aloha To Go","19711A Gulf Blvd","Indian Shores","FL","33785","27.85802"," -82.84651","4.5"," 303","1","u'free'"," 'street': False","False","None","True","True"
"6766","K7vvEwRd6Y8gRftjeuASuQ","Mykonos","628 Dodecanese Blvd","Tarpon Springs","FL","34689","28.15541"," -82.75991","4.5"," 410","1","'no'"," 'street': False","False","False","True","True"
"6769","3npVYXZ6w1nUDL3Mi9UQpA","Hooters","3437 Commercial Hwy","Spring Hill","FL","34606","28.48196"," -82.60886","2.5","  40","1","u'free'"," 'street': False","True","True","True","True"
"6770","","","","","","","","","","","","","","","","",""
"6772","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-23:0","","","","","","","","","","","",""
"6774","2DckdUJCBOOQ4NizqeXMvQ","Lat 28","1269 Bayshore Blvd","Dunedin","FL","34698","28.02161"," -82.78951","4.0","  40","0","u'free'"," 'street': False","False","False","True","True"
"6775","17:0-0:0","17:0-0:0","17:0-1:0","12:0-1:0","12:0-0:0","","","","","","","","","","","",""
"6777","AYvvx-AeplhRrER9MP5gcA","Bonefish Grill","2939 W Bay Dr","Belleair Bluffs","FL","33770","27.91740"," -82.81954","3.5"," 160","1","'no'"," 'street': False","True","True","True","True"
"6810","RqW9S4WG9UYZHKhHRHXJZg","Lolis Mexican Cravings","8005 Benjamin Rd","Tampa","FL","33634","28.02239"," -82.54143","4.5","1449","1","'no'"," 'street': False","False","None","True","True"
"6818","16:0-23:0","16:0-23:0","16:0-23:0","16:0-1:0","16:0-1:0","16:0-23:0","","","","","","","","","","",""
"6821","","","","","","","","","","","","","","","","",""
"6833","S6ix_JnnUAv3k1quNE1GlA","A' Amor'e Pizzeria Grill & Pub","9700 66th St N","Pinellas Park","FL","33782","27.86034"," -82.72903","3.5","  30","1","'free'"," u'garage': False","True","True","True","True"
"6858","12:0-23:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","","","","","","","","","","","",""
"6889","S2XX-JCKWjcR1UHClZnn6w","Lee Roy Selmon's Restaurant","4302 W Boy Scout Blvd","Tampa","FL","33607","27.96282"," -82.51542","3.5"," 282","0","u'free'"," 'street': False","True","True","True","True"
"6910","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","9:0-3:0","11:0-2:0","","","","","","","","","","",""
"6911","a8CrdVtlfa3JDoC_ADW8dA","Señor Tequila Mexican Restaurant - Tampa","11115 N Dale Mabry Hwy","Tampa","FL","33618","28.05013"," -82.50315","4.0"," 280","1","'no'"," 'street': False","True","True","True","True"
"6925","rmXPAS-Ad3KDnu_p9SguVQ","Tokyo Sushi Bar","5711 E Fowler Ave","Tampa","FL","33617","28.05345"," -82.39218","4.0","  69","1","u'free'"," 'street': False","True","False","True","True"
"6929","_27_xPY4rCw1JEvz3VolCQ","Singha Thai Viet Restaurant","8787 N 56th Street Temple Ter","Tampa","FL","33617","28.02847"," -82.39220","3.5"," 104","0","u'free'"," 'street': False","False","None","False","True"
"6942","13:0-3:0","13:0-3:0","13:0-3:0","13:0-3:0","13:0-3:0","13:0-3:0","","","","","","","","","","",""
"6945","","","","","","","","","","","","","","","","",""
