,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,categories,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15514,6VVbLYay8czrjKJ4xRoTxQ,Judge For Yourself Cafe,1218 Santa Barbara St,Santa Barbara,CA,93101,34.42599,-119.70266,4.5,110,1,NA,TRUE,TRUE,2,NA,TRUE,None,FALSE,u'no',{'garage': None, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,'none',TRUE,'casual',{u'divey': True, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': False},NA,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Breakfast & Brunch",6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,,,,,,,,,,,,
15550,8-ZExybRuyyXZf6aESgc3g,Paseo Nuevo Shopping Center,651 Paseo Nuevo,Santa Barbara,CA,93101,34.41899,-119.7,4,125,1,FALSE,TRUE,TRUE,2,NA,None,None,FALSE,'no',{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,TRUE,FALSE,FALSE,TRUE,'full_bar',TRUE,'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False},NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American (Traditional), Restaurants, Shopping Centers, Shopping, Local Flavor",0:0-0:0,11:0-19:0,11:0-19:0,11:0-19:0,9:0-17:0,11:0-19:0,11:0-19:0,,,,,,,,,,,,,,,,,
15552,qOYSAbFQS5LQXH1No40H6A,Carpinteria Wine Company,4193 Carpinteria Ave,Carpinteria,CA,93013,34.40385,-119.53348,5,10,1,NA,TRUE,TRUE,2,NA,TRUE,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food, Beer, Wine & Spirits",0:0-0:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-17:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15572,4KAuy-zNBxD9QvnkldwEww,The Marquee,1212 State St,Santa Barbara,CA,93101,34.42367,-119.70482,4,45,0,NA,TRUE,TRUE,2,NA,FALSE,FALSE,FALSE,u'no',{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False},NA,TRUE,FALSE,FALSE,FALSE,NA,u'full_bar',FALSE,'casual',{'romantic': False, 'intimate': True, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},NA,TRUE,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Bars, American (New), Nightlife, Wine Bars",16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,,,,,,,,,,,,,,,,,
15631,2Onw97BVHHr_B0sgloC2EA,Santa Barbara Airbrush Tanning,,Santa Barbara,CA,93101,34.42033,-119.71075,5,5,0,TRUE,TRUE,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tanning, Beauty & Spas",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15659,PuKNHzZx5Jm-x72udExKZQ,Spathya Day Spa,"7394 Calle Real, Ste F",Goleta,CA,93117,34.43283,-119.88515,4.5,15,1,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Massage, Acne Treatment, Waxing, Health & Medical, Beauty & Spas, Massage Therapy, Skin Care, Day Spas, Hair Removal, Eyelash Service",9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15678,_hmHH1uJsl3vA7zUx1QduQ,Artemis Animal Clinic,"3433 State St, Ste D",Santa Barbara,CA,93105,34.44006,-119.73779,4,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Veterinarians, Pets",9:0-17:0,9:0-18:0,NA,9:0-18:0,9:0-17:0,9:0-12:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15705,KFPEgw0-_abPiEsrZm9CXw,Goodland Chiropractic,"5973 Encina Rd, Ste 102",Goleta,CA,93117,34.44243,-119.82916,5,14,1,FALSE,TRUE,NA,NA,NA,NA,NA,NA,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropractors, Nutritionists, Health & Medical, Massage, Beauty & Spas",0:0-0:0,15:0-19:0,NA,15:0-19:0,14:0-19:0,15:0-18:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15798,ewFBNKZUvPOaMaeWwWfwyA,Miss Behavin,"651 Paseo Nuevo, Ste 322",Santa Barbara,CA,93101,34.41929,-119.69992,4.5,26,1,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,NA,None,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jewelry, Fashion, Accessories, Women's Clothing, Shopping",11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15851,ASZHu03cP_-ozRGpjokCRQ,Autohaus,218 Palm Ave,Santa Barbara,CA,93101,34.4182,-119.69064,5,14,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auto Repair, Automotive",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15881,6aean82jIEp9ScEVowVJMA,Ace Rivington,1106 A State St,Santa Barbara,CA,93101,34.42273,-119.7033,5,36,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Shoe Stores, Men's Clothing, Fashion, Hats, Accessories",0:0-0:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-15:0,11:0-17:0,10:30-15:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15976,NnAfFmqKH3PBeigmuAeFNA,Santa Barbara Chicken Ranch,149 N Fairview Ave,Goleta,CA,93117,34.4418,-119.83271,3.5,127,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,TRUE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,TRUE,FALSE,TRUE,u'none',TRUE,u'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},NA,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Barbeque, Mexican",11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,,,,,,,,,,,,
16053,f5sQmbttj4pSvFSJTApcPA,Velo Pro Cyclery,15 Hitchcock Way,Santa Barbara,CA,93105,34.4397,-119.7443,4.5,49,1,NA,TRUE,TRUE,2,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bikes, Shopping, Sporting Goods, Active Life, Bike Rentals",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,11:0-16:0,,,,,,,,,,,,,,,,,,,,,,,,,
16068,iXkQGJF88zOeXtHMjBmeZg,Miramar Beach Bar,1773 S Jameson Ln,Montecito,CA,93108,34.42072,-119.62546,3.5,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,TRUE,NA,TRUE,NA,FALSE,TRUE,NA,NA,NA,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False},NA,NA,NA,NA,NA,NA,NA,{u'dj': False, u'live': None, u'jukebox': None, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nightlife, Active Life, Bars, Hotels & Travel, Beaches, Lounges",11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:30,11:0-20:30,11:0-20:30,,,,,,,,,,,,,,,
16089,29t8lDBLiwkEd1HA356dOw,Bagel Cafe,6551 Trigo Rd,Goleta,CA,93117,34.41097,-119.85713,4,386,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,TRUE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,FALSE,TRUE,TRUE,FALSE,TRUE,u'none',TRUE,u'casual',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},FALSE,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Cafes, Bagels, Food",6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,,,,,,,,,,,,
16202,jZncFsMQdrq268OHq_Q6uw,Super Cuca's Taqueria,"2030 Cliff Dr, Ste 1A",Santa Barbara,CA,93109,34.40253,-119.72441,4,108,1,NA,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,TRUE,TRUE,FALSE,NA,'beer_and_wine',TRUE,u'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True},FALSE,TRUE,NA,u'average',{u'breakfast': None, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Mexican",6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,,,,,,,,,,,,
16216,W9-QlrChaA6IGe6QD0E6Wg,QwikResponse Restoration & Construction,165 Aero Camino Rd,Goleta,CA,93117,34.4323,-119.84882,3.5,21,1,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contractors, Home Services, Damage Restoration",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16287,zn9Y2K3_3peB7qC0BEbJvg,Santa Barbara Yacht Club,Breakwatr,Santa Barbara,CA,93101,34.40294,-119.69364,4,16,1,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Flavor, Boating, Active Life",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16308,p24WQi5uDBErpmMDUwDm-A,Sophie's French Maids,,Santa Barbara,CA,93105,34.42083,-119.69819,4,31,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home & Garden, Home Cleaning, Office Cleaning, Professional Services, Home Services, Shopping, Carpet Cleaning, Local Services, Window Washing",8:0-19:0,8:0-19:0,8:0-19:0,8:0-19:0,8:0-17:0,7:0-16:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16312,eX7cchZJY6aCEmObk7Aipg,Neptune Society,4173 State St,Santa Barbara,CA,93110,34.44032,-119.76243,2.5,24,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local Services, Funeral Services & Cemeteries",8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16382,R93mEcQ1pjq7q3LzShi3ow,"Villa Craft Beer, Wine & Kitchen",618 Anacapa St,Santa Barbara,CA,93101,34.41954,-119.69636,5,77,1,FALSE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,'free',{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False},TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,u'beer_and_wine',TRUE,'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False},TRUE,TRUE,NA,u'average',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False},FALSE,u'no',{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False},FALSE,NA,{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False},NA,NA,NA,NA,NA,NA,NA,NA,"Bars, Restaurants, Nightlife, Sandwiches, American (New), Tapas Bars, Wine Bars",NA,NA,16:0-20:0,16:0-20:0,16:0-21:0,16:0-21:0,NA
16401,2KjwQI2VSJJ7Lm4PLwyrhw,Good Land Plumbing and Construction,298 Orange Ave,Goleta,CA,93117,34.43403,-119.82868,4.5,44,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Professional Services, Contractors, Home Services, Plumbing, Water Heater Installation/Repair",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-15:0,8:0-15:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16403,mE8fmz0IcLp4CtDGupIWkQ,Tunnel Trail Hike,Tunnel Rd And Mission Canyon Rd,Santa Barbara,CA,93105,34.45003,-119.71039,4.5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active Life, Hiking",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16412,T0ySNMaUAoUBxSZESay5ug,Pacific Paper,132 Garden St,Santa Barbara,CA,93101,34.41667,-119.6871,4.5,8,1,NA,TRUE,NA,1,NA,NA,NA,NA,NA,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home Services, Shopping, Packing Supplies, Movers, Office Equipment",8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16463,51jq-1D2WyWfJ3pJGZZODQ,Porch,2346 Lillie Ave,Summerland,CA,93067,34.42156,-119.59879,4.5,17,1,NA,TRUE,TRUE,3,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Home & Garden, Fashion, Furniture Stores, Accessories, Nurseries & Gardening",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,11:0-17:0,,,,,,,,,,,,,,,,,,,,,,,,,
16485,SAYSrMGaJvLUbHfKZZ93eQ,Carroll Plumbing & Maintenance,2825 De La Vina St,Santa Barbara,CA,93105,34.4368,-119.72664,3,29,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home Services, Contractors, Handyman, Plumbing, Heating & Air Conditioning/HVAC, Water Heater Installation/Repair",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16488,Stx8fUjg_m0-CAcT2NJCNQ,A Healthy Life,1054 Casitas Pass Rd,Carpinteria,CA,93013,34.39627,-119.51272,4.5,10,0,FALSE,TRUE,TRUE,2,NA,TRUE,NA,NA,'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grocery, Food, Weight Loss Centers, Juice Bars & Smoothies, Specialty Food, Health Markets, Health & Medical, Nutritionists",7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-18:0,8:0-15:0,8:0-14:0,,,,,,,,,,,,,,,,,,,,,,,,,
16510,b_CINVwS45VYbf_y8sCbaQ,Channel Islands Surfboards,36 Anacapa St,Santa Barbara,CA,93101,34.41416,-119.68906,3.5,33,1,NA,TRUE,TRUE,2,NA,NA,NA,NA,NA,{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shopping, Sporting Goods, Fashion, Surf Shop",10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,11:0-17:0,,,,,,,,,,,,,,,,,,,,,,,,,
16521,rjeH0b1F7qj2gxxOO8vzYA,VCA Care Specialty and Emergency Animal Hospital,301 E Haley St,Santa Barbara,CA,93101,34.42026,-119.69219,3.5,94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emergency Pet Hospital, Pets, Pet Sitting, Veterinarians, Pet Groomers, Pet Services",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16546,EBXdLr7NCZdUg3EPLCliyQ,Make Smith Leather Co.,135 E De La Guerra St,Santa Barbara,CA,93101,34.42187,-119.69751,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Shopping, Leather Goods, Customized Merchandise, Accessories",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16592,Y8Aj1vEHKUtY2Wb1dmvRPw,Badasci Mobile Auto repair,,Santa Barbara,CA,93101,34.42033,-119.71075,4,10,1,NA,TRUE,NA,NA,NA,NA,NA,NA,u'no',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automotive, Auto Repair",8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-17:0,9:0-17:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16674,RvpM--0mCVEBGiPNTekxlA,Luce Salon,1822 Cliff Dr,Santa Barbara,CA,93109,34.40169,-119.72124,4.5,20,1,FALSE,TRUE,TRUE,2,NA,NA,NA,NA,u'free',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beauty & Spas, Hair Salons",0:0-0:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16723,McyQ9oz-Gk2Q4cjK4jKuPg,Drain Masters,,Santa Barbara,CA,93160,34.43,-119.8,4.5,24,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Septic Services, Home Services, Local Services, Plumbing",8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16791,XLKBIY3UJsAxd4QnpvL9xQ,Santa Barbara Radiator,36 W Gutierrez St,Santa Barbara,CA,93101,34.41507,-119.69531,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auto Repair, Automotive",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16836,NIQWO-Q_F598XlAvZnFVCA,Eureka!,601 Paseo Nuevo,Santa Barbara,CA,93101,34.41861,-119.70015,4,961,1,NA,TRUE,TRUE,2,FALSE,TRUE,TRUE,FALSE,u'free',{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,u'full_bar',TRUE,u'casual',{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True},TRUE,TRUE,FALSE,u'loud',{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': False},FALSE,u'no',{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False},FALSE,NA,{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True},NA,TRUE,NA,NA,NA,NA,NA,NA,"Restaurants, American (Traditional), Lounges, Nightlife, Bars, Burgers, American (New)",11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-23:0
16837,KXVC9UqRtRxRvLOn6pVBYw,Glow Beauty Boutique,"2027 De La Vina St, Ste B",Santa Barbara,CA,93105,34.42906,-119.71776,5,33,0,TRUE,TRUE,TRUE,2,NA,NA,NA,NA,u'free',{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beauty & Spas, Hair Removal, Waxing, Makeup Artists, Spray Tanning, Tanning, Skin Care",0:0-0:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16903,BEzvmorW8ILha6tcSxBBwA,Valentino's Take N Bake Pizza,4421 Hollister Ave,Santa Barbara,CA,93110,34.43975,-119.77065,4.5,69,1,NA,TRUE,TRUE,2,NA,TRUE,FALSE,TRUE,u'no',{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},TRUE,NA,FALSE,FALSE,FALSE,NA,u'none',TRUE,u'casual',{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False},FALSE,TRUE,NA,u'quiet',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Salad, Sandwiches, Restaurants, Pizza",0:0-0:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,NA,,,,,,,,,,,,
